,2018,2019,2020,2021,2022
Currency,USD,USD,USD,USD,USD
Total Assets,365725000000,338516000000,323888000000,351002000000,352755000000
Total Current Assets,131339000000,162819000000,143713000000,134836000000,135405000000
Cash & Cash Equivalents at Carrying Value,25913000000,48844000000,38016000000,34940000000,23646000000
Cash & Short-Term Investments,25913000000,100557000000,90943000000,62639000000,48304000000
Inventory,3956000000,4106000000,4061000000,6580000000,4946000000
Current Net Receivables,48995000000,45804000000,37445000000,51506000000,60932000000
Total Non-Current Assets,234386000000,175697000000,180175000000,216166000000,217350000000
Property Plant & Equipment,41304000000,37378000000,36766000000,39440000000,42117000000
Accumulated Depreciation & Amortization(PPE),49099000000,58579000000,66760000000,70283000000,72340000000
Intangible Assets,None,None,None,None,None
Intangible Assets Excluding Goodwill,None,None,None,None,None
Goodwill,None,None,None,None,None
Investments,448287000000,362952000000,345644000000,318994000000,292870000000
Long-Term Investments,170799000000,105341000000,100887000000,127877000000,120805000000
Short-Term Investments,40388000000,51713000000,52927000000,27699000000,24658000000
Other Current Assets,12087000000,12352000000,11264000000,14111000000,21223000000
Other Non-Current Assets,22283000000,32978000000,42522000000,48849000000,54428000000
Total Liabilities,258578000000,248028000000,258549000000,287912000000,302083000000
Total Current Liabilities,115929000000,105718000000,105392000000,125481000000,153982000000
Current Accounts Payable,55888000000,46236000000,42296000000,54763000000,64115000000
Deferred Revenue,14766000000,13622000000,16843000000,19512000000,20312000000
Current Debt,20748000000,16240000000,13793000000,15692000000,21239000000
Short-Term Debt,11964000000,5980000000,4996000000,6000000000,9982000000
Total Non-Current Liabilities,142649000000,142310000000,153157000000,162431000000,148101000000
Capital Lease Obligations,None,None,637000000,769000000,812000000
Long-Term Debt,111984000000,117760000000,125873000000,118700000000,110100000000
Current Long-Term Debt,8784000000,10260000000,8773000000,9613000000,11128000000
Long-Term Debt Noncurrent,93735000000,91807000000,98667000000,109106000000,98959000000
Short & Long-Term Debt Total,220132000000,209135000000,216860000000,241783000000,233256000000
Other Current Liabilities,33327000000,37720000000,42684000000,47493000000,60845000000
Other Non-Current Liabilities,48914000000,50503000000,54490000000,53325000000,49142000000
Total Shareholder Equity,107147000000,90488000000,65339000000,63090000000,50672000000
Treasury Stock,None,None,None,None,None
Retained Earnings,70400000000,45898000000,14966000000,5562000000,-3068000000
Common Stock,40201000000,45174000000,50779000000,57365000000,64849000000
Common Stock Shares Outstanding,4754986000,4443236000,16976763000,16426786000,15943425000
